timeFMT,donor2acceptor,value,id,cage
1,OO,-0.01663054,1,1
2,OO,-0.010875252,1,1
3,OO,-0.01924658,1,1
4,OO,-0.023432245,1,1
5,OO,-0.027356305,1,1
6,OO,-0.044622169,1,1
7,OO,-0.061364825,1,1
8,OO,-0.072875402,1,1
9,OO,-0.10348307,1,1
10,OO,-0.061364825,1,1
11,OO,,1,1
12,OO,,1,1
13,OO,,1,1
14,OO,,1,1
15,OO,,1,1
16,OO,,1,1
17,OO,,1,1
19,OO,,1,1
21,OO,,1,1
24,OO,,1,1
28,OO,,1,1
31,OO,,1,1
35,OO,,1,1
41,OO,,1,1
49,OO,,1,1
1,OO,0.004538578,2,2
2,OO,-0.00781644,2,2
3,OO,-0.008572869,2,2
4,OO,-0.008320726,2,2
5,OO,-0.016893596,2,2
6,OO,-0.062027231,2,2
7,OO,-0.072617247,2,2
8,OO,-0.103378719,2,2
9,OO,-0.12380232,2,2
10,OO,-0.106656581,2,2
11,OO,-0.099596571,2,2
12,OO,-0.104135149,2,2
13,OO,-0.112455875,2,2
14,OO,-0.146747352,2,2
15,OO,-0.142965204,2,2
16,OO,-0.12934947,2,2
17,OO,-0.113464448,2,2
19,OO,-0.105900151,2,2
21,OO,-0.069339385,2,2
24,OO,-0.091527988,2,2
28,OO,-0.041351488,2,2
31,OO,-0.031770045,2,2
35,OO,-0.128845184,2,2
41,OO,-0.044125063,2,2
49,OO,-0.020927887,2,2
1,OO,-0.000234082,3,2
2,OO,0.001872659,3,2
3,OO,-0.023876404,3,2
4,OO,-0.025983146,3,2
5,OO,-0.007724719,3,2
6,OO,-0.030196629,3,2
7,OO,-0.066245318,3,2
8,OO,-0.141853933,3,2
9,OO,-0.175561798,3,2
10,OO,-0.207162921,3,2
11,OO,-0.219569288,3,2
12,OO,-0.218867041,3,2
13,OO,-0.191479401,3,2
14,OO,-0.191947566,3,2
15,OO,-0.205758427,3,2
16,OO,-0.214419476,3,2
17,OO,-0.215589888,3,2
19,OO,-0.205290262,3,2
21,OO,-0.20411985,3,2
24,OO,-0.211610487,3,2
28,OO,-0.178604869,3,2
31,OO,-0.174625468,3,2
35,OO,-0.226357678,3,2
41,OO,-0.230337079,3,2
49,OO,-0.233848315,3,2
1,OO,0.000276625,4,2
2,OO,-0.005809129,4,2
3,OO,-0.005532503,4,2
4,OO,-0.001106501,4,2
5,OO,-0.025172891,4,2
6,OO,-0.039834025,4,2
7,OO,-0.06417704,4,2
8,OO,-0.112863071,4,2
9,OO,-0.13526971,4,2
10,OO,-0.152143845,4,2
11,OO,-0.12835408,4,2
12,OO,-0.148547718,4,2
13,OO,-0.107330567,4,2
14,OO,-0.122821577,4,2
15,OO,-0.140248963,4,2
16,OO,-0.134439834,4,2
17,OO,-0.129183956,4,2
19,OO,-0.125311203,4,2
21,OO,-0.123098202,4,2
24,OO,-0.123651452,4,2
28,OO,-0.1197787,4,2
31,OO,-0.097372061,4,2
35,OO,-0.125034578,4,2
41,OO,-0.074135546,4,2
49,OO,-0.049515906,4,2
1,OO,-0.000244559,5,2
2,OO,-0.002934703,5,2
3,OO,-0.02910247,5,2
4,OO,-0.024211299,5,2
5,OO,-0.024700416,5,2
6,OO,-0.040596723,5,2
7,OO,-0.074345806,5,2
8,OO,-0.094399609,5,2
9,OO,-0.115920763,5,2
10,OO,-0.122768403,5,2
11,OO,-0.113719736,5,2
12,OO,-0.127904133,5,2
13,OO,-0.103448276,5,2
14,OO,-0.125703106,5,2
15,OO,-0.168745415,5,2
16,OO,-0.162386892,5,2
17,OO,-0.137931034,5,2
19,OO,-0.13352898,5,2
21,OO,-0.120567376,5,2
24,OO,-0.131572512,5,2
28,OO,-0.069699193,5,2
31,OO,-0.09073123,5,2
35,OO,-0.112741502,5,2
41,OO,-0.089263879,5,2
49,OO,-0.063829787,5,2
1,OO,0.017307627,6,1
2,OO,0.008024754,6,1
3,OO,-0.004114387,6,1
4,OO,0.014451358,6,1
5,OO,-0.019823863,6,1
6,OO,-0.037199497,6,1
7,OO,-0.043388078,6,1
8,OO,-0.075521099,6,1
9,OO,-0.080995614,6,1
10,OO,-0.062191846,6,1
11,OO,,6,1
12,OO,,6,1
13,OO,,6,1
14,OO,,6,1
15,OO,,6,1
16,OO,,6,1
17,OO,,6,1
19,OO,,6,1
21,OO,,6,1
24,OO,,6,1
28,OO,,6,1
31,OO,,6,1
35,OO,,6,1
41,OO,,6,1
49,OO,,6,1
1,OO,-0.003104947,7,1
2,OO,-0.013610019,7,1
3,OO,-0.012523287,7,1
4,OO,-0.028462016,7,1
5,OO,-0.020130408,7,1
6,OO,-0.074466984,7,1
7,OO,-0.090043469,7,1
8,OO,-0.125181122,7,1
9,OO,-0.14764024,7,1
10,OO,-0.096926102,7,1
11,OO,,7,1
12,OO,,7,1
13,OO,,7,1
14,OO,,7,1
15,OO,,7,1
16,OO,,7,1
17,OO,,7,1
19,OO,,7,1
21,OO,,7,1
24,OO,,7,1
28,OO,,7,1
31,OO,,7,1
35,OO,,7,1
41,OO,,7,1
49,OO,,7,1
1,OO,0.043004872,8,1
2,OO,0.034304465,8,1
3,OO,0.050313215,8,1
4,OO,0.027692155,8,1
5,OO,-0.051655563,8,1
6,OO,-0.042607139,8,1
7,OO,-0.076016705,8,1
8,OO,-0.090285373,8,1
9,OO,-0.079844884,8,1
10,OO,-0.016505916,8,1
11,OO,,8,1
12,OO,,8,1
13,OO,,8,1
14,OO,,8,1
15,OO,,8,1
16,OO,,8,1
17,OO,,8,1
19,OO,,8,1
21,OO,,8,1
24,OO,,8,1
28,OO,,8,1
31,OO,,8,1
35,OO,,8,1
41,OO,,8,1
49,OO,,8,1
1,OO,-0.020599572,9,1
2,OO,-0.017901499,9,1
3,OO,-0.034089936,9,1
4,OO,-0.015503212,9,1
5,OO,-0.008608137,9,1
6,OO,-0.041284797,9,1
7,OO,-0.080256959,9,1
8,OO,-0.086552463,9,1
9,OO,-0.119229122,9,1
10,OO,-0.082655246,9,1
11,OO,,9,1
12,OO,,9,1
13,OO,,9,1
14,OO,,9,1
15,OO,,9,1
16,OO,,9,1
17,OO,,9,1
19,OO,,9,1
21,OO,,9,1
24,OO,,9,1
28,OO,,9,1
31,OO,,9,1
35,OO,,9,1
41,OO,,9,1
49,OO,,9,1
1,OO,0.001880657,10,1
2,OO,-0.009638365,10,1
3,OO,-0.007718528,10,1
4,OO,-0.003056067,10,1
5,OO,-0.018963288,10,1
6,OO,-0.046938056,10,1
7,OO,-0.079301023,10,1
8,OO,-0.111663989,10,1
9,OO,-0.144301219,10,1
10,OO,-0.158288602,10,1
11,OO,,10,1
12,OO,,10,1
13,OO,,10,1
14,OO,,10,1
15,OO,,10,1
16,OO,,10,1
17,OO,,10,1
19,OO,,10,1
21,OO,,10,1
24,OO,,10,1
28,OO,,10,1
31,OO,,10,1
35,OO,,10,1
41,OO,,10,1
49,OO,,10,1
1,YO,-0.006101695,1,2
2,YO,-0.047457627,1,2
3,YO,-0.074576271,1,2
4,YO,-0.088135593,1,2
5,YO,-0.103389831,1,2
6,YO,-0.107118644,1,2
7,YO,-0.116610169,1,2
8,YO,-0.175254237,1,2
9,YO,-0.222711864,1,2
10,YO,-0.238644068,1,2
11,YO,-0.248474576,1,2
12,YO,-0.231186441,1,2
13,YO,-0.205762712,1,2
14,YO,-0.152542373,1,2
15,YO,-0.190847458,1,2
16,YO,-0.182033898,1,2
17,YO,-0.189152542,1,2
19,YO,-0.183389831,1,2
21,YO,-0.181355932,1,2
24,YO,-0.162711864,1,2
28,YO,-0.134576271,1,2
31,YO,-0.153898305,1,2
35,YO,-0.140338983,1,2
41,YO,-0.1,1,2
49,YO,-0.058644068,1,2
1,YO,0.0184573,2,2
2,YO,-0.01707989,2,2
3,YO,-0.016804408,2,2
4,YO,-0.012396694,2,2
5,YO,-0.03553719,2,2
6,YO,-0.080991736,2,2
7,YO,-0.129752066,2,2
8,YO,-0.178236915,2,2
9,YO,-0.21184573,2,2
10,YO,-0.231955923,2,2
11,YO,-0.234986226,2,2
12,YO,-0.241046832,2,2
13,YO,-0.242424242,2,2
14,YO,-0.267768595,2,2
15,YO,-0.287327824,2,2
16,YO,-0.299173554,2,2
17,YO,-0.284573003,2,2
19,YO,-0.309366391,2,2
21,YO,-0.275482094,2,2
24,YO,-0.263360882,2,2
28,YO,-0.220110193,2,2
31,YO,-0.218181818,2,2
35,YO,-0.202479339,2,2
41,YO,-0.207713499,2,2
49,YO,-0.129476584,2,2
1,YO,-0.004223865,3,2
2,YO,-0.019711369,3,2
3,YO,-0.034494896,3,2
4,YO,-0.048574446,3,2
5,YO,-0.065469905,3,2
6,YO,-0.090461105,3,2
7,YO,-0.105596621,3,2
8,YO,-0.134107709,3,2
9,YO,-0.157338965,3,2
10,YO,-0.13375572,3,2
11,YO,-0.112284407,3,2
12,YO,-0.11967617,3,2
13,YO,-0.117916227,3,2
14,YO,-0.10594861,3,2
15,YO,-0.11967617,3,2
16,YO,-0.143611404,3,2
17,YO,-0.126715945,3,2
19,YO,-0.13375572,3,2
21,YO,-0.132347765,3,2
24,YO,-0.101724745,3,2
28,YO,-0.1031327,3,2
31,YO,-0.091165083,3,2
35,YO,-0.084829285,3,2
41,YO,-0.123900035,3,2
49,YO,-0.084829285,3,2
1,YO,0.003404032,4,2
2,YO,-0.020162346,4,2
3,YO,-0.020947892,4,2
4,YO,-0.025661168,4,2
5,YO,-0.028279654,4,2
6,YO,-0.045561665,4,2
7,YO,-0.085624509,4,2
8,YO,-0.103692066,4,2
9,YO,-0.115737104,4,2
10,YO,-0.103430217,4,2
11,YO,-0.09505106,4,2
12,YO,-0.13013878,4,2
13,YO,-0.089814087,4,2
14,YO,-0.098716942,4,2
15,YO,-0.116784499,4,2
16,YO,-0.120974077,4,2
17,YO,-0.119926682,4,2
19,YO,-0.123330715,4,2
21,YO,-0.117046347,4,2
24,YO,-0.111809374,4,2
28,YO,-0.067818801,4,2
31,YO,-0.077245352,4,2
35,YO,-0.051060487,4,2
41,YO,-0.126472899,4,2
49,YO,-0.108143493,4,2
1,YO,-0.002984332,5,2
2,YO,-0.002735638,5,2
3,YO,-0.009947774,5,2
4,YO,-0.004973887,5,2
5,YO,-0.023625964,5,2
6,YO,-0.059935339,5,2
7,YO,-0.089032579,5,2
8,YO,-0.117135041,5,2
9,YO,-0.161651331,5,2
10,YO,-0.182044268,5,2
11,YO,-0.209649341,5,2
12,YO,-0.211638896,5,2
13,YO,-0.170355633,5,2
14,YO,-0.203183288,5,2
15,YO,-0.226809251,5,2
16,YO,-0.222830142,5,2
17,YO,-0.216115394,5,2
19,YO,-0.228798806,5,2
21,YO,-0.223078836,5,2
24,YO,-0.204675454,5,2
28,YO,-0.160407859,5,2
31,YO,-0.160159164,5,2
35,YO,-0.174086048,5,2
41,YO,-0.179059935,5,2
49,YO,-0.149216613,5,2
1,YO,0.022335241,6,1
2,YO,-0.012375503,6,1
3,YO,-0.030472558,6,1
4,YO,-0.001101928,6,1
5,YO,-0.065479975,6,1
6,YO,-0.093960585,6,1
7,YO,-0.134308116,6,1
8,YO,-0.2268701,6,1
9,YO,-0.268404323,6,1
10,YO,-0.296291587,6,1
11,YO,,6,1
12,YO,,6,1
13,YO,,6,1
14,YO,,6,1
15,YO,,6,1
16,YO,,6,1
17,YO,,6,1
19,YO,,6,1
21,YO,,6,1
24,YO,,6,1
28,YO,,6,1
31,YO,,6,1
35,YO,,6,1
41,YO,,6,1
49,YO,,6,1
1,YO,0.021987466,7,1
2,YO,-0.005837064,7,1
3,YO,-0.026392122,7,1
4,YO,-0.023384064,7,1
5,YO,-0.05221128,7,1
6,YO,-0.08003581,7,1
7,YO,-0.101092211,7,1
8,YO,-0.121145927,7,1
9,YO,-0.145962399,7,1
10,YO,-0.153983885,7,1
11,YO,,7,1
12,YO,,7,1
13,YO,,7,1
14,YO,,7,1
15,YO,,7,1
16,YO,,7,1
17,YO,,7,1
19,YO,,7,1
21,YO,,7,1
24,YO,,7,1
28,YO,,7,1
31,YO,,7,1
35,YO,,7,1
41,YO,,7,1
49,YO,,7,1
1,YO,0.000761591,8,1
2,YO,-0.025041126,8,1
3,YO,-0.030585511,8,1
4,YO,-0.017790776,8,1
5,YO,-0.033144459,8,1
6,YO,-0.06406507,8,1
7,YO,-0.074514105,8,1
8,YO,-0.097118138,8,1
9,YO,-0.111618839,8,1
10,YO,-0.096265156,8,1
11,YO,,8,1
12,YO,,8,1
13,YO,,8,1
14,YO,,8,1
15,YO,,8,1
16,YO,,8,1
17,YO,,8,1
19,YO,,8,1
21,YO,,8,1
24,YO,,8,1
28,YO,,8,1
31,YO,,8,1
35,YO,,8,1
41,YO,,8,1
49,YO,,8,1
1,YO,-0.009915756,9,1
2,YO,-0.023459229,9,1
3,YO,-0.046878149,9,1
4,YO,-0.028820186,9,1
5,YO,-0.062961022,9,1
6,YO,-0.099359104,9,1
7,YO,-0.115441977,9,1
8,YO,-0.130678383,9,1
9,YO,-0.16538353,9,1
10,YO,-0.13801443,9,1
11,YO,,9,1
12,YO,,9,1
13,YO,,9,1
14,YO,,9,1
15,YO,,9,1
16,YO,,9,1
17,YO,,9,1
19,YO,,9,1
21,YO,,9,1
24,YO,,9,1
28,YO,,9,1
31,YO,,9,1
35,YO,,9,1
41,YO,,9,1
49,YO,,9,1
1,YO,0.013146472,10,1
2,YO,-0.029393526,10,1
3,YO,-0.038653934,10,1
4,YO,-0.031998016,10,1
5,YO,-0.048493117,10,1
6,YO,-0.071644136,10,1
7,YO,-0.096531481,10,1
8,YO,-0.140807805,10,1
9,YO,-0.165405763,10,1
10,YO,-0.182769027,10,1
11,YO,,10,1
12,YO,,10,1
13,YO,,10,1
14,YO,,10,1
15,YO,,10,1
16,YO,,10,1
17,YO,,10,1
19,YO,,10,1
21,YO,,10,1
24,YO,,10,1
28,YO,,10,1
31,YO,,10,1
35,YO,,10,1
41,YO,,10,1
49,YO,,10,1
