,reads,id,label,age,treatment,raw_time,timeFMT,timeDSS,FMT,DSS,donor_age,donor2acceptor,label_id,timeBF,timeBO,BF,BO,CHÊ±¼ä,cohousing,primry_order,Alias
sample9,21575789,9,D0-D3-1,2,2,0,0,NA,NA,,NA,Y2,D3,0,NA,1,NA,0,0,443,
sample804,27743252,804,FMT-OO-DN1-J5-1,18,2,0,0,NA,1,,18,OO,J5,NA,NA,NA,NA,NA,NA,60,
sample803,27678254,803,FMT-OO-DN1-J4-1,18,2,0,0,NA,1,,18,OO,J4,NA,NA,NA,NA,NA,NA,59,
sample802,27461627,802,FMT-OO-DN1-J3-1,18,2,0,0,NA,1,,18,OO,J3,NA,NA,NA,NA,NA,NA,58,
sample800,29273320,800,FMT-OO-DN1-J1-1,18,2,0,0,NA,1,,18,OO,J1,NA,NA,NA,NA,NA,NA,56,
sample8,44139325,8,D0-D2-1,2,2,0,0,NA,NA,,NA,Y2,D2,0,NA,1,NA,0,0,442,
sample794,26848397,794,FMT-OY-DN1-W5-1,2,2,0,0,NA,1,,18,OY,W5,NA,NA,NA,NA,NA,NA,55,
sample793,27498856,793,FMT-OY-DN1-W4-1,2,2,0,0,NA,1,,18,OY,W4,NA,NA,NA,NA,NA,NA,54,
sample792,34925113,792,FMT-OY-DN1-W3-1,2,2,0,0,NA,1,,18,OY,W3,NA,NA,NA,NA,NA,NA,53,
sample791,22737708,791,FMT-OY-DN1-W2-1,2,2,0,0,NA,1,,18,OY,W2,NA,NA,NA,NA,NA,NA,52,
sample790,23403508,790,FMT-OY-DN1-W1-1,2,2,0,0,NA,1,,18,OY,W1,NA,NA,NA,NA,NA,NA,51,
sample774,21239702,774,FMT-YO-DN1-G5-1,18,2,0,0,NA,1,,2,YO,G5,NA,NA,NA,NA,NA,NA,50,
sample773,23571459,773,FMT-YO-DN1-G4-1,18,2,0,0,NA,1,,2,YO,G4,NA,NA,NA,NA,NA,NA,49,
sample772,29800139,772,FMT-YO-DN1-G3-1,18,2,0,0,NA,1,,2,YO,G3,NA,NA,NA,NA,NA,NA,48,
sample771,28527992,771,FMT-YO-DN1-G2-1,18,2,0,0,NA,1,,2,YO,G2,NA,NA,NA,NA,NA,NA,47,
sample770,24778987,770,FMT-YO-DN1-G1-1,18,2,0,0,NA,1,,2,YO,G1,NA,NA,NA,NA,NA,NA,46,
sample759,23310527,759,FMT-YY-DN1-S5-1,2,2,0,0,NA,1,,2,YY,S5,NA,NA,NA,NA,NA,NA,45,
sample758,28309040,758,FMT-YY-DN1-S4-1,2,2,0,0,NA,1,,2,YY,S4,NA,NA,NA,NA,NA,NA,44,
sample757,18598943,757,FMT-YY-DN1-S3-1,2,2,0,0,NA,1,,2,YY,S3,NA,NA,NA,NA,NA,NA,43,
sample756,26671955,756,FMT-YY-DN1-S2-1,2,2,0,0,NA,1,,2,YY,S2,NA,NA,NA,NA,NA,NA,42,
sample755,25535213,755,FMT-YY-DN1-S1-1,2,2,0,0,NA,1,,2,YY,S1,NA,NA,NA,NA,NA,NA,41,
sample7,32410756,7,D0-D1-1,2,2,0,0,NA,NA,,NA,Y2,D1,0,NA,1,NA,0,0,441,
sample699,27083508,699,18-D0-F5-1,18,2,0,0,NA,0,,NA,O2,F5,0,NA,1,NA,NA,NA,10,
sample698,27701027,698,18-D0-F4-1,18,2,0,0,NA,0,,NA,O2,F4,0,NA,1,NA,NA,NA,9,
sample697,27659470,697,18-D0-F3-1,18,2,0,0,NA,0,,NA,O2,F3,0,NA,1,NA,NA,NA,8,
sample696,30016422,696,18-D0-F2-1,18,2,0,0,NA,0,,NA,O2,F2,0,NA,1,NA,NA,NA,7,
sample695,32161514,695,18-D0-F1-1,18,2,0,0,NA,0,,NA,O2,F1,0,NA,1,NA,NA,NA,6,
sample48,21261145,48,D42-D5-1,2,2,42,42,NA,NA,,NA,Y2,D5,42,NA,1,NA,0,0,482,
sample47,26338913,47,D42-D4-1,2,2,42,42,NA,NA,,NA,Y2,D4,42,NA,1,NA,0,0,481,
sample46,33578187,46,D42-D3-1,2,2,42,42,NA,NA,,NA,Y2,D3,42,NA,1,NA,0,0,480,
sample43,28067936,43,D42-D2-1,2,2,42,42,NA,NA,,NA,Y2,D2,42,NA,1,NA,0,0,477,
sample42,27705094,42,D42-D1-1,2,2,42,42,NA,NA,,NA,Y2,D1,42,NA,1,NA,0,0,476,
sample1935,31454031,1935,OD1,2D,2,NA,-1,NA,1,-1,2-D,YD,YD1,NA,NA,NA,NA,NA,NA,NA,baseline_Aged
sample1934,38681948,1934,YD1,18D,2,NA,-1,NA,1,-1,18-D,OD,OD1,NA,NA,NA,NA,NA,NA,NA,baseline_Young
sample1807,23849028,1807,FMT-OO-D56-J5-1,18,2,56,56,NA,1,,18,OO,J5,NA,NA,NA,NA,NA,NA,378,FMT-M
sample1806,23950130,1806,FMT-OO-D56-J4-1,18,2,56,56,NA,1,,18,OO,J4,NA,NA,NA,NA,NA,NA,377,FMT-M
sample1805,23664764,1805,FMT-OO-D56-J3-1,18,2,56,56,NA,1,,18,OO,J3,NA,NA,NA,NA,NA,NA,376,FMT-M
sample1804,24354143,1804,FMT-OO-D56-J1-1,18,2,56,56,NA,1,,18,OO,J1,NA,NA,NA,NA,NA,NA,375,FMT-M
sample1803,20501784,1803,FMT-OY-D56-W5-1,2,2,56,56,NA,1,,18,OY,W5,NA,NA,NA,NA,NA,NA,374,
sample1802,19505460,1802,FMT-OY-D56-W4-1,2,2,56,56,NA,1,,18,OY,W4,NA,NA,NA,NA,NA,NA,373,
sample1801,20295573,1801,FMT-OY-D56-W3-1,2,2,56,56,NA,1,,18,OY,W3,NA,NA,NA,NA,NA,NA,372,
sample1800,21852052,1800,FMT-OY-D56-W2-1,2,2,56,56,NA,1,,18,OY,W2,NA,NA,NA,NA,NA,NA,371,
sample1799,18958234,1799,FMT-OY-D56-W1-1,2,2,56,56,NA,1,,18,OY,W1,NA,NA,NA,NA,NA,NA,370,
sample1798,21207179,1798,FMT-YO-D56-G5-1,18,2,56,56,NA,1,,2,YO,G5,NA,NA,NA,NA,NA,NA,369,FMT-UM
sample1797,20161848,1797,FMT-YO-D56-G4-1,18,2,56,56,NA,1,,2,YO,G4,NA,NA,NA,NA,NA,NA,368,FMT-UM
sample1796,20930813,1796,FMT-YO-D56-G3-1,18,2,56,56,NA,1,,2,YO,G3,NA,NA,NA,NA,NA,NA,367,FMT-UM
sample1795,19889983,1795,FMT-YO-D56-G2-1,18,2,56,56,NA,1,,2,YO,G2,NA,NA,NA,NA,NA,NA,366,FMT-UM
sample1794,20694916,1794,FMT-YO-D56-G1-1,18,2,56,56,NA,1,,2,YO,G1,NA,NA,NA,NA,NA,NA,365,FMT-UM
sample1793,22047446,1793,FMT-YY-D56-S5-1,2,2,56,56,NA,1,,2,YY,S5,NA,NA,NA,NA,NA,NA,364,
sample1792,21973485,1792,FMT-YY-D56-S4-1,2,2,56,56,NA,1,,2,YY,S4,NA,NA,NA,NA,NA,NA,363,
sample1791,24048974,1791,FMT-YY-D56-S3-1,2,2,56,56,NA,1,,2,YY,S3,NA,NA,NA,NA,NA,NA,362,
sample1790,30710027,1790,FMT-YY-D56-S2-1,2,2,56,56,NA,1,,2,YY,S2,NA,NA,NA,NA,NA,NA,361,
sample1789,27989520,1789,FMT-YY-D56-S1-1,2,2,56,56,NA,1,,2,YY,S1,NA,NA,NA,NA,NA,NA,360,
sample1704,26993091,1704,18-D56-F5-1,18,2,56,56,NA,0,,NA,O2,F5,56,NA,1,NA,NA,NA,320,SR
sample1703,26267616,1703,18-D56-F4-1,18,2,56,56,NA,0,,NA,O2,F4,56,NA,1,NA,NA,NA,319,SR
sample1702,23376360,1702,18-D56-F3-1,18,2,56,56,NA,0,,NA,O2,F3,56,NA,1,NA,NA,NA,318,SR
sample1701,28530102,1701,18-D56-F2-1,18,2,56,56,NA,0,,NA,O2,F2,56,NA,1,NA,NA,NA,317,SR
sample1700,24515039,1700,18-D56-F1-1,18,2,56,56,NA,0,,NA,O2,F1,56,NA,1,NA,NA,NA,316,SR
sample11,19485747,11,D0-D5-1,2,2,0,0,NA,NA,,NA,Y2,D5,0,NA,1,NA,0,0,445,
sample10,34306185,10,D0-D4-1,2,2,0,0,NA,NA,,NA,Y2,D4,0,NA,1,NA,0,0,444,
