timeFMT,donor2acceptor,value,id,age
0,OY,11.92424,1,2
1,OY,9.05894,1,2
4,OY,11.76914,1,2
7,OY,12.08095,1,2
21,OY,12.1059,1,2
42,OY,12.46015,1,2
0,OY,11.77992,2,2
1,OY,10.8589,2,2
4,OY,11.97931,2,2
7,OY,11.99813,2,2
21,OY,11.89764,2,2
42,OY,12.28007,2,2
0,OY,12.14407,3,2
1,OY,8.833002,3,2
4,OY,11.76758,3,2
7,OY,12.00773,3,2
21,OY,11.71574,3,2
42,OY,11.78494,3,2
0,OY,11.82043,4,2
1,OY,8.92492,4,2
4,OY,12.10528,4,2
7,OY,11.83638,4,2
21,OY,11.83769,4,2
42,OY,12.235,4,2
0,OY,12.16995,5,2
1,OY,9.475671,5,2
4,OY,11.80339,5,2
7,OY,12.05346,5,2
21,OY,11.90989,5,2
42,OY,12.18584,5,2
0,OO,11.86853,1,18
1,OO,8.640038,1,18
4,OO,11.53618,1,18
7,OO,11.75394,1,18
21,OO,11.97951,1,18
42,OO,11.64786,1,18
0,OO,11.93255,2,18
1,OO,8.460022,2,18
4,OO,11.88925,2,18
7,OO,11.02535,2,18
21,OO,11.45075,2,18
42,OO,11.88416,2,18
0,OO,11.87214,3,18
1,OO,8.503734,3,18
4,OO,11.72282,3,18
7,OO,11.89779,3,18
21,OO,11.80194,3,18
42,OO,11.78255,3,18
0,OO,11.64175,4,18
1,OO,8.555666,4,18
4,OO,11.86967,4,18
7,OO,11.86899,4,18
21,OO,11.8313,4,18
42,OO,12.05774,4,18
0,OO,11.92745,5,18
1,OO,8.652531,5,18
4,OO,11.67348,5,18
7,OO,11.61286,5,18
21,OO,,5,18
42,OO,,5,18
0,O0,11.87769,1,18
1,O0,12.11914,1,18
4,O0,11.94486,1,18
7,O0,12.02891,1,18
21,O0,11.94523,1,18
42,O0,11.72562,1,18
0,O0,11.8352,2,18
1,O0,11.90155,2,18
4,O0,12.08219,2,18
7,O0,11.78932,2,18
21,O0,12.08274,2,18
42,O0,11.48263,2,18
0,O0,11.55025,3,18
1,O0,11.9456,3,18
4,O0,12.0123,3,18
7,O0,11.82943,3,18
21,O0,11.98837,3,18
42,O0,12.04507,3,18
0,O0,11.79263,4,18
1,O0,11.93065,4,18
4,O0,11.9998,4,18
7,O0,11.99455,4,18
21,O0,11.9534,4,18
42,O0,11.98672,4,18
0,O0,11.89671,5,18
1,O0,12.23769,5,18
4,O0,12.00629,5,18
7,O0,12.07977,5,18
21,O0,11.94849,5,18
42,O0,11.93783,5,18
0,O2,11.98434,1,18
1,O2,8.736408,1,18
4,O2,12.04247,1,18
7,O2,11.8836,1,18
21,O2,11.61266,1,18
42,O2,11.84288,1,18
0,O2,11.81099,2,18
1,O2,8.68166,2,18
4,O2,11.42735,2,18
7,O2,11.72509,2,18
21,O2,11.84423,2,18
42,O2,11.83855,2,18
0,O2,11.91667,3,18
1,O2,9.44004,3,18
4,O2,12.00496,3,18
7,O2,11.67486,3,18
21,O2,11.3529,3,18
42,O2,11.99048,3,18
0,O2,11.96167,4,18
1,O2,7.87664,4,18
4,O2,11.91696,4,18
7,O2,11.85752,4,18
21,O2,11.81295,4,18
42,O2,11.94735,4,18
0,O2,11.43833,5,18
1,O2,8.852161,5,18
4,O2,11.64898,5,18
7,O2,11.92302,5,18
21,O2,11.66445,5,18
42,O2,11.80586,5,18
0,Y0,12.26124,1,2
1,Y0,12.10473,1,2
4,Y0,12.12532,1,2
7,Y0,12.32903,1,2
21,Y0,12.06758,1,2
42,Y0,11.94947,1,2
0,Y0,12.14367,2,2
1,Y0,12.21011,2,2
4,Y0,11.97882,2,2
7,Y0,11.94879,2,2
21,Y0,11.93495,2,2
42,Y0,12.16414,2,2
0,Y0,11.77563,3,2
1,Y0,11.95495,3,2
4,Y0,12.08475,3,2
7,Y0,11.93067,3,2
21,Y0,11.91892,3,2
42,Y0,11.97167,3,2
0,Y0,12.04818,4,2
1,Y0,12.07964,4,2
4,Y0,12.21659,4,2
7,Y0,11.88096,4,2
21,Y0,11.91023,4,2
42,Y0,12.08817,4,2
0,Y0,11.91705,5,2
1,Y0,12.20393,5,2
4,Y0,12.18151,5,2
7,Y0,12.12333,5,2
21,Y0,12.03818,5,2
42,Y0,11.82829,5,2
0,Y2,12.15422,1,2
1,Y2,9.179716,1,2
4,Y2,11.48771,1,2
7,Y2,11.5829,1,2
21,Y2,11.57004,1,2
42,Y2,12.01129,1,2
0,Y2,12.02816,2,2
1,Y2,9.45105,2,2
4,Y2,11.57393,2,2
7,Y2,11.70156,2,2
21,Y2,11.87705,2,2
42,Y2,11.99062,2,2
0,Y2,11.98179,3,2
1,Y2,9.116925,3,2
4,Y2,11.68107,3,2
7,Y2,11.50994,3,2
21,Y2,11.57226,3,2
42,Y2,11.85608,3,2
0,Y2,12.09186,4,2
1,Y2,8.973378,4,2
4,Y2,11.58588,4,2
7,Y2,11.36786,4,2
21,Y2,12.04231,4,2
42,Y2,11.91373,4,2
0,Y2,12.19511,5,2
1,Y2,9.533307,5,2
4,Y2,11.83232,5,2
7,Y2,11.428,5,2
21,Y2,11.88406,5,2
42,Y2,12.06006,5,2
0,Y3,12.00698,1,2
1,Y3,11.99794,1,2
4,Y3,11.77846,1,2
7,Y3,11.85866,1,2
21,Y3,11.80601,1,2
42,Y3,11.8151,1,2
0,Y3,12.02845,2,2
1,Y3,11.80758,2,2
4,Y3,11.98706,2,2
7,Y3,12.04529,2,2
21,Y3,11.85252,2,2
42,Y3,12.09224,2,2
0,Y3,11.82587,3,2
1,Y3,11.87729,3,2
4,Y3,11.98465,3,2
7,Y3,11.98328,3,2
21,Y3,11.82206,3,2
42,Y3,11.9581,3,2
0,Y3,11.92556,4,2
1,Y3,11.90912,4,2
4,Y3,11.92313,4,2
7,Y3,11.97355,4,2
21,Y3,11.56457,4,2
42,Y3,11.75663,4,2
0,Y3,11.94891,5,2
1,Y3,11.78137,5,2
4,Y3,12.00764,5,2
7,Y3,11.89109,5,2
21,Y3,11.75944,5,2
42,Y3,11.74871,5,2
0,O3,11.73692,1,18
1,O3,11.04023,1,18
4,O3,11.69804,1,18
7,O3,11.84161,1,18
21,O3,11.73341,1,18
42,O3,11.88926,1,18
0,O3,11.84626,2,18
1,O3,11.18032,2,18
4,O3,11.43856,2,18
7,O3,11.78597,2,18
21,O3,11.84804,2,18
42,O3,11.77195,2,18
0,O3,11.78411,3,18
1,O3,11.2234,3,18
4,O3,11.43691,3,18
7,O3,11.77066,3,18
21,O3,11.98759,3,18
42,O3,11.85386,3,18
0,O3,11.7518,4,18
1,O3,11.32591,4,18
4,O3,11.37539,4,18
7,O3,11.87348,4,18
21,O3,11.96554,4,18
42,O3,11.64009,4,18
0,O3,11.71857,5,18
1,O3,11.73199,5,18
4,O3,11.70326,5,18
7,O3,12.01684,5,18
21,O3,11.76791,5,18
42,O3,11.66477,5,18
