,id,label,age,treatment,raw_time,timeFMT,timeDSS,FMT,DSS,donor_age,donor2acceptor,label_id,timeBF,timeBO,BF,BO,CHÊ±¼ä,cohousing,primry_order,cage,Alias,Alias2
sample974,974,H3,18,2,7,7,NA,1,1,2,YO,H3,NA,NA,NA,NA,NA,NA,NA,H,FMT-UM-DSS,
sample975,975,H4,18,2,7,7,NA,1,1,2,YO,H4,NA,NA,NA,NA,NA,NA,NA,H,FMT-UM-DSS,
sample976,976,H5,18,2,7,7,NA,1,1,2,YO,H5,NA,NA,NA,NA,NA,NA,NA,H,FMT-UM-DSS,
sample982,982,V1,2,2,7,7,NA,1,1,18,OY,V1,NA,NA,NA,NA,NA,NA,NA,V,FMT-UM-DSS,
sample983,983,V2,2,2,7,7,NA,1,1,18,OY,V2,NA,NA,NA,NA,NA,NA,NA,V,FMT-UM-DSS,
sample984,984,V3,2,2,7,7,NA,1,1,18,OY,V3,NA,NA,NA,NA,NA,NA,NA,V,FMT-UM-DSS,
sample985,985,V4,2,2,7,7,NA,1,1,18,OY,V4,NA,NA,NA,NA,NA,NA,NA,V,FMT-UM-DSS,
sample986,986,V5,2,2,7,7,NA,1,1,18,OY,V5,NA,NA,NA,NA,NA,NA,NA,V,FMT-UM-DSS,
sample987,987,FMT-OY-D7-W1-1,2,2,7,7,NA,1,NA,18,OY,W1,NA,NA,NA,NA,NA,NA,121,W,FMT-UM,
sample988,988,FMT-OY-D7-W2-1,2,2,7,7,NA,1,NA,18,OY,W2,NA,NA,NA,NA,NA,NA,122,W,FMT-UM,
sample989,989,FMT-OY-D7-W3-1,2,2,7,7,NA,1,NA,18,OY,W3,NA,NA,NA,NA,NA,NA,123,W,FMT-UM,
sample990,990,FMT-OY-D7-W4-1,2,2,7,7,NA,1,NA,18,OY,W4,NA,NA,NA,NA,NA,NA,124,W,FMT-UM,
sample991,991,FMT-OY-D7-W5-1,2,2,7,7,NA,1,NA,18,OY,W5,NA,NA,NA,NA,NA,NA,125,W,FMT-UM,
sample997,997,FMT-OO-D7-J1-1,18,2,7,7,NA,1,NA,18,OO,J1,NA,NA,NA,NA,NA,NA,126,J,FMT-M,
sample998,998,FMT-OO-D7-J2-1,18,2,7,7,NA,1,NA,18,OO,J2,NA,NA,NA,NA,NA,NA,127,J,FMT-M,
sample999,999,FMT-OO-D7-J3-1,18,2,7,7,NA,1,NA,18,OO,J3,NA,NA,NA,NA,NA,NA,128,J,FMT-M,
sample1000,1000,FMT-OO-D7-J4-1,18,2,7,7,NA,1,NA,18,OO,J4,NA,NA,NA,NA,NA,NA,129,J,FMT-M,
sample1001,1001,FMT-OO-D7-J5-1,18,2,7,7,NA,1,NA,18,OO,J5,NA,NA,NA,NA,NA,NA,130,J,FMT-M,
sample1002,1002,K1,18,2,7,7,NA,1,1,18,OO,K1,NA,NA,NA,NA,NA,NA,NA,K,FMT-M-DSS,
sample1003,1003,K2,18,2,7,7,NA,1,1,18,OO,K2,NA,NA,NA,NA,NA,NA,NA,K,FMT-M-DSS,
sample1004,1004,K3,18,2,7,7,NA,1,1,18,OO,K3,NA,NA,NA,NA,NA,NA,NA,K,FMT-M-DSS,
sample1005,1005,K4,18,2,7,7,NA,1,1,18,OO,K4,NA,NA,NA,NA,NA,NA,NA,K,FMT-M-DSS,
sample1006,1006,K5,18,2,7,7,NA,1,1,18,OO,K5,NA,NA,NA,NA,NA,NA,NA,K,FMT-M-DSS,
sample1033,1033,FMT-YY-D11-S1-1,2,2,11,11,NA,1,NA,2,YY,S1,NA,NA,NA,NA,NA,NA,136,S,FMT-M,
sample1034,1034,FMT-YY-D11-S2-1,2,2,11,11,NA,1,NA,2,YY,S2,NA,NA,NA,NA,NA,NA,137,S,FMT-M,
sample1035,1035,FMT-YY-D11-S3-1,2,2,11,11,NA,1,NA,2,YY,S3,NA,NA,NA,NA,NA,NA,138,S,FMT-M,
sample1036,1036,FMT-YY-D11-S4-1,2,2,11,11,NA,1,NA,2,YY,S4,NA,NA,NA,NA,NA,NA,139,S,FMT-M,
sample1037,1037,FMT-YY-D11-S5-1,2,2,11,11,NA,1,NA,2,YY,S5,NA,NA,NA,NA,NA,NA,140,S,FMT-M,
sample1042,1042,U1,2,2,11,11,NA,1,1,2,YY,U1,NA,NA,NA,NA,NA,NA,NA,U,FMT-M-DSS,
sample1043,1043,U2,2,2,11,11,NA,1,1,2,YY,U2,NA,NA,NA,NA,NA,NA,NA,U,FMT-M-DSS,
sample1044,1044,U3,2,2,11,11,NA,1,1,2,YY,U3,NA,NA,NA,NA,NA,NA,NA,U,FMT-M-DSS,
sample1045,1045,U4,2,2,11,11,NA,1,1,2,YY,U4,NA,NA,NA,NA,NA,NA,NA,U,FMT-M-DSS,
sample1046,1046,U5,2,2,11,11,NA,1,1,2,YY,U5,NA,NA,NA,NA,NA,NA,NA,U,FMT-M-DSS,
sample1047,1047,FMT-YO-D11-G1-1,18,2,11,11,NA,1,NA,2,YO,G1,NA,NA,NA,NA,NA,NA,141,G,FMT-UM,
sample1048,1048,FMT-YO-D11-G2-1,18,2,11,11,NA,1,NA,2,YO,G2,NA,NA,NA,NA,NA,NA,142,G,FMT-UM,
sample1049,1049,FMT-YO-D11-G3-1,18,2,11,11,NA,1,NA,2,YO,G3,NA,NA,NA,NA,NA,NA,143,G,FMT-UM,
sample1050,1050,FMT-YO-D11-G4-1,18,2,11,11,NA,1,NA,2,YO,G4,NA,NA,NA,NA,NA,NA,144,G,FMT-UM,
sample1051,1051,FMT-YO-D11-G5-1,18,2,11,11,NA,1,NA,2,YO,G5,NA,NA,NA,NA,NA,NA,145,G,FMT-UM,
sample1052,1052,H1,18,2,11,11,NA,1,1,2,YO,H1,NA,NA,NA,NA,NA,NA,NA,H,FMT-UM-DSS,
sample1053,1053,H2,18,2,11,11,NA,1,1,2,YO,H2,NA,NA,NA,NA,NA,NA,NA,H,FMT-UM-DSS,
sample1054,1054,H3,18,2,11,11,NA,1,1,2,YO,H3,NA,NA,NA,NA,NA,NA,NA,H,FMT-UM-DSS,
sample1055,1055,H4,18,2,11,11,NA,1,1,2,YO,H4,NA,NA,NA,NA,NA,NA,NA,H,FMT-UM-DSS,
sample1056,1056,H5,18,2,11,11,NA,1,1,2,YO,H5,NA,NA,NA,NA,NA,NA,NA,H,FMT-UM-DSS,
sample1062,1062,V1,2,2,11,11,NA,1,1,18,OY,V1,NA,NA,NA,NA,NA,NA,NA,V,FMT-UM-DSS,
sample1063,1063,V2,2,2,11,11,NA,1,1,18,OY,V2,NA,NA,NA,NA,NA,NA,NA,V,FMT-UM-DSS,
sample1064,1064,V3,2,2,11,11,NA,1,1,18,OY,V3,NA,NA,NA,NA,NA,NA,NA,V,FMT-UM-DSS,
sample1065,1065,V4,2,2,11,11,NA,1,1,18,OY,V4,NA,NA,NA,NA,NA,NA,NA,V,FMT-UM-DSS,
sample1066,1066,V5,2,2,11,11,NA,1,1,18,OY,V5,NA,NA,NA,NA,NA,NA,NA,V,FMT-UM-DSS,
sample1067,1067,FMT-OY-D11-W1-1,2,2,11,11,NA,1,NA,18,OY,W1,NA,NA,NA,NA,NA,NA,146,W,FMT-UM,
sample1068,1068,FMT-OY-D11-W2-1,2,2,11,11,NA,1,NA,18,OY,W2,NA,NA,NA,NA,NA,NA,147,W,FMT-UM,
sample1069,1069,FMT-OY-D11-W3-1,2,2,11,11,NA,1,NA,18,OY,W3,NA,NA,NA,NA,NA,NA,148,W,FMT-UM,
sample1070,1070,FMT-OY-D11-W4-1,2,2,11,11,NA,1,NA,18,OY,W4,NA,NA,NA,NA,NA,NA,149,W,FMT-UM,
sample1071,1071,FMT-OY-D11-W5-1,2,2,11,11,NA,1,NA,18,OY,W5,NA,NA,NA,NA,NA,NA,150,W,FMT-UM,
sample1077,1077,FMT-OO-D11-J1-1,18,2,11,11,NA,1,NA,18,OO,J1,NA,NA,NA,NA,NA,NA,151,J,FMT-M,
sample1078,1078,FMT-OO-D11-J2-1,18,2,11,11,NA,1,NA,18,OO,J2,NA,NA,NA,NA,NA,NA,152,J,FMT-M,
sample1079,1079,FMT-OO-D11-J3-1,18,2,11,11,NA,1,NA,18,OO,J3,NA,NA,NA,NA,NA,NA,153,J,FMT-M,
sample1080,1080,FMT-OO-D11-J4-1,18,2,11,11,NA,1,NA,18,OO,J4,NA,NA,NA,NA,NA,NA,154,J,FMT-M,
sample1081,1081,FMT-OO-D11-J5-1,18,2,11,11,NA,1,NA,18,OO,J5,NA,NA,NA,NA,NA,NA,155,J,FMT-M,
sample1082,1082,K1,18,2,11,11,NA,1,1,18,OO,K1,NA,NA,NA,NA,NA,NA,NA,K,FMT-M-DSS,
sample1083,1083,K2,18,2,11,11,NA,1,1,18,OO,K2,NA,NA,NA,NA,NA,NA,NA,K,FMT-M-DSS,
sample1084,1084,K3,18,2,11,11,NA,1,1,18,OO,K3,NA,NA,NA,NA,NA,NA,NA,K,FMT-M-DSS,
sample1085,1085,K4,18,2,11,11,NA,1,1,18,OO,K4,NA,NA,NA,NA,NA,NA,NA,K,FMT-M-DSS,
sample1086,1086,K5,18,2,11,11,NA,1,1,18,OO,K5,NA,NA,NA,NA,NA,NA,NA,K,FMT-M-DSS,
sample1102,1102,FMT-YY-D14-S1-1,2,2,14,14,NA,1,NA,2,YY,S1,NA,NA,NA,NA,NA,NA,161,S,FMT-M,
sample1103,1103,FMT-YY-D14-S2-1,2,2,14,14,NA,1,NA,2,YY,S2,NA,NA,NA,NA,NA,NA,162,S,FMT-M,
sample1104,1104,FMT-YY-D14-S3-1,2,2,14,14,NA,1,NA,2,YY,S3,NA,NA,NA,NA,NA,NA,163,S,FMT-M,
sample1105,1105,FMT-YY-D14-S4-1,2,2,14,14,NA,1,NA,2,YY,S4,NA,NA,NA,NA,NA,NA,164,S,FMT-M,
sample1106,1106,FMT-YY-D14-S5-1,2,2,14,14,NA,1,NA,2,YY,S5,NA,NA,NA,NA,NA,NA,165,S,FMT-M,
sample1111,1111,U1,2,2,14,14,NA,1,1,2,YY,U1,NA,NA,NA,NA,NA,NA,NA,U,FMT-M-DSS,
sample1112,1112,U2,2,2,14,14,NA,1,1,2,YY,U2,NA,NA,NA,NA,NA,NA,NA,U,FMT-M-DSS,
sample1113,1113,U3,2,2,14,14,NA,1,1,2,YY,U3,NA,NA,NA,NA,NA,NA,NA,U,FMT-M-DSS,
sample1114,1114,U4,2,2,14,14,NA,1,1,2,YY,U4,NA,NA,NA,NA,NA,NA,NA,U,FMT-M-DSS,
sample1115,1115,U5,2,2,14,14,NA,1,1,2,YY,U5,NA,NA,NA,NA,NA,NA,NA,U,FMT-M-DSS,
sample1116,1116,FMT-YO-D14-G1-1,18,2,14,14,NA,1,NA,2,YO,G1,NA,NA,NA,NA,NA,NA,166,G,FMT-UM,
sample1117,1117,FMT-YO-D14-G2-1,18,2,14,14,NA,1,NA,2,YO,G2,NA,NA,NA,NA,NA,NA,167,G,FMT-UM,
sample1118,1118,FMT-YO-D14-G3-1,18,2,14,14,NA,1,NA,2,YO,G3,NA,NA,NA,NA,NA,NA,168,G,FMT-UM,
sample1119,1119,FMT-YO-D14-G4-1,18,2,14,14,NA,1,NA,2,YO,G4,NA,NA,NA,NA,NA,NA,169,G,FMT-UM,
sample1120,1120,FMT-YO-D14-G5-1,18,2,14,14,NA,1,NA,2,YO,G5,NA,NA,NA,NA,NA,NA,170,G,FMT-UM,
sample1121,1121,H1,18,2,14,14,NA,1,1,2,YO,H1,NA,NA,NA,NA,NA,NA,NA,H,FMT-UM-DSS,
sample1122,1122,H2,18,2,14,14,NA,1,1,2,YO,H2,NA,NA,NA,NA,NA,NA,NA,H,FMT-UM-DSS,
sample1123,1123,H3,18,2,14,14,NA,1,1,2,YO,H3,NA,NA,NA,NA,NA,NA,NA,H,FMT-UM-DSS,
sample1124,1124,H4,18,2,14,14,NA,1,1,2,YO,H4,NA,NA,NA,NA,NA,NA,NA,H,FMT-UM-DSS,
sample1125,1125,H5,18,2,14,14,NA,1,1,2,YO,H5,NA,NA,NA,NA,NA,NA,NA,H,FMT-UM-DSS,
sample1563,1563,V1,2,2,14,14,NA,1,1,18,OY,V1,NA,NA,NA,NA,NA,NA,NA,V,FMT-UM-DSS,
sample1564,1564,V2,2,2,14,14,NA,1,1,18,OY,V2,NA,NA,NA,NA,NA,NA,NA,V,FMT-UM-DSS,
sample1565,1565,V3,2,2,14,14,NA,1,1,18,OY,V3,NA,NA,NA,NA,NA,NA,NA,V,FMT-UM-DSS,
sample1566,1566,V4,2,2,14,14,NA,1,1,18,OY,V4,NA,NA,NA,NA,NA,NA,NA,V,FMT-UM-DSS,
sample1567,1567,V5,2,2,14,14,NA,1,1,18,OY,V5,NA,NA,NA,NA,NA,NA,NA,V,FMT-UM-DSS,
sample1568,1568,FMT-OY-D14-W1-1,2,2,14,14,NA,1,NA,18,OY,W1,NA,NA,NA,NA,NA,NA,268,W,FMT-UM,
sample1569,1569,FMT-OY-D14-W2-1,2,2,14,14,NA,1,NA,18,OY,W2,NA,NA,NA,NA,NA,NA,269,W,FMT-UM,
sample1570,1570,FMT-OY-D14-W3-1,2,2,14,14,NA,1,NA,18,OY,W3,NA,NA,NA,NA,NA,NA,270,W,FMT-UM,
sample1571,1571,FMT-OY-D14-W4-1,2,2,14,14,NA,1,NA,18,OY,W4,NA,NA,NA,NA,NA,NA,271,W,FMT-UM,
sample1572,1572,FMT-OY-D14-W5-1,2,2,14,14,NA,1,NA,18,OY,W5,NA,NA,NA,NA,NA,NA,272,W,FMT-UM,
sample1578,1578,FMT-OO-D14-J1-1,18,2,14,14,NA,1,NA,18,OO,J1,NA,NA,NA,NA,NA,NA,273,J,FMT-M,
sample1579,1579,FMT-OO-D14-J2-1,18,2,14,14,NA,1,NA,18,OO,J2,NA,NA,NA,NA,NA,NA,274,J,FMT-M,
sample1012,1012,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,ABH,
sample1013,1013,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,ABH,
sample1014,1014,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,ABH,
sample1015,1015,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,ABH,
sample1016,1016,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,ABH,
sample1017,1017,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,ABH,
sample1018,1018,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,ABH,
sample1019,1019,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,ABH,
sample1020,1020,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,ABH,
sample1021,1021,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,ABH,
sample1022,1022,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,ABH,
sample1023,1023,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,ABH,
sample1024,1024,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,ABH,
sample1025,1025,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,ABH,
sample1026,1026,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,ABH,
sample1027,1027,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,ABH,
sample1028,1028,18-D21-F1-1,18,2,21,21,21,0,NA,NA,O2,F1,21,NA,1,NA,NA,NA,131,F,ABH,SR
sample1029,1029,18-D21-F2-1,18,2,21,21,21,0,NA,NA,O2,F2,21,NA,1,NA,NA,NA,132,F,ABH,SR
sample1030,1030,18-D21-F3-1,18,2,21,21,21,0,NA,NA,O2,F3,21,NA,1,NA,NA,NA,133,F,ABH,SR
sample1031,1031,18-D21-F4-1,18,2,21,21,21,0,NA,NA,O2,F4,21,NA,1,NA,NA,NA,134,F,ABH,SR
sample1032,1032,18-D21-F5-1,18,2,21,21,21,0,NA,NA,O2,F5,21,NA,1,NA,NA,NA,135,F,ABH,SR
sample1581,1581,FMT-OO-D14-J4-1,18,2,14,14,NA,1,NA,18,OO,J4,NA,NA,NA,NA,NA,NA,275,J,FMT-M,
sample1582,1582,FMT-OO-D14-J5-1,18,2,14,14,NA,1,NA,18,OO,J5,NA,NA,NA,NA,NA,NA,276,J,FMT-M,
sample1583,1583,K1,18,2,14,14,NA,1,1,18,OO,K1,NA,NA,NA,NA,NA,NA,NA,K,FMT-M-DSS,
sample1584,1584,K2,18,2,14,14,NA,1,1,18,OO,K2,NA,NA,NA,NA,NA,NA,NA,K,FMT-M-DSS,
sample1585,1585,K3,18,2,14,14,NA,1,1,18,OO,K3,NA,NA,NA,NA,NA,NA,NA,K,FMT-M-DSS,
sample1586,1586,K4,18,2,14,14,NA,1,1,18,OO,K4,NA,NA,NA,NA,NA,NA,NA,K,FMT-M-DSS,
sample1587,1587,K5,18,2,14,14,NA,1,1,18,OO,K5,NA,NA,NA,NA,NA,NA,NA,K,FMT-M-DSS,
sample1160,1160,FMT-YY-D21-S1-1,2,2,21,21,NA,1,NA,2,YY,S1,NA,NA,NA,NA,NA,NA,181,S,FMT-M,
sample1161,1161,FMT-YY-D21-S2-1,2,2,21,21,NA,1,NA,2,YY,S2,NA,NA,NA,NA,NA,NA,182,S,FMT-M,
sample1162,1162,FMT-YY-D21-S3-1,2,2,21,21,NA,1,NA,2,YY,S3,NA,NA,NA,NA,NA,NA,183,S,FMT-M,
sample1163,1163,FMT-YY-D21-S4-1,2,2,21,21,NA,1,NA,2,YY,S4,NA,NA,NA,NA,NA,NA,184,S,FMT-M,
sample1164,1164,FMT-YY-D21-S5-1,2,2,21,21,NA,1,NA,2,YY,S5,NA,NA,NA,NA,NA,NA,185,S,FMT-M,
sample1169,1169,U1,2,2,21,21,NA,1,1,2,YY,U1,NA,NA,NA,NA,NA,NA,NA,U,FMT-M-DSS,
sample1170,1170,U2,2,2,21,21,NA,1,1,2,YY,U2,NA,NA,NA,NA,NA,NA,NA,U,FMT-M-DSS,
sample1171,1171,U3,2,2,21,21,NA,1,1,2,YY,U3,NA,NA,NA,NA,NA,NA,NA,U,FMT-M-DSS,
sample1172,1172,U4,2,2,21,21,NA,1,1,2,YY,U4,NA,NA,NA,NA,NA,NA,NA,U,FMT-M-DSS,
sample1173,1173,U5,2,2,21,21,NA,1,1,2,YY,U5,NA,NA,NA,NA,NA,NA,NA,U,FMT-M-DSS,
sample1174,1174,FMT-YO-D21-G1-1,18,2,21,21,NA,1,NA,2,YO,G1,NA,NA,NA,NA,NA,NA,186,G,FMT-UM,
sample1175,1175,FMT-YO-D21-G2-1,18,2,21,21,NA,1,NA,2,YO,G2,NA,NA,NA,NA,NA,NA,187,G,FMT-UM,
sample1176,1176,FMT-YO-D21-G3-1,18,2,21,21,NA,1,NA,2,YO,G3,NA,NA,NA,NA,NA,NA,188,G,FMT-UM,
sample1177,1177,FMT-YO-D21-G4-1,18,2,21,21,NA,1,NA,2,YO,G4,NA,NA,NA,NA,NA,NA,189,G,FMT-UM,
sample1178,1178,FMT-YO-D21-G5-1,18,2,21,21,NA,1,NA,2,YO,G5,NA,NA,NA,NA,NA,NA,190,G,FMT-UM,
sample1179,1179,H1,18,2,21,21,-4,1,1,2,YO,H1,NA,NA,NA,NA,NA,NA,NA,H,FMT-UM-DSS,
sample1180,1180,H2,18,2,21,21,-4,1,1,2,YO,H2,NA,NA,NA,NA,NA,NA,NA,H,FMT-UM-DSS,
sample1181,1181,H3,18,2,21,21,-4,1,1,2,YO,H3,NA,NA,NA,NA,NA,NA,NA,H,FMT-UM-DSS,
sample1182,1182,H4,18,2,21,21,-4,1,1,2,YO,H4,NA,NA,NA,NA,NA,NA,NA,H,FMT-UM-DSS,
sample1183,1183,H5,18,2,21,21,-4,1,1,2,YO,H5,NA,NA,NA,NA,NA,NA,NA,H,FMT-UM-DSS,
sample1189,1189,V1,2,2,21,21,NA,1,1,18,OY,V1,NA,NA,NA,NA,NA,NA,NA,V,FMT-UM-DSS,
sample1190,1190,V2,2,2,21,21,NA,1,1,18,OY,V2,NA,NA,NA,NA,NA,NA,NA,V,FMT-UM-DSS,
sample1191,1191,V3,2,2,21,21,NA,1,1,18,OY,V3,NA,NA,NA,NA,NA,NA,NA,V,FMT-UM-DSS,
sample1192,1192,V4,2,2,21,21,NA,1,1,18,OY,V4,NA,NA,NA,NA,NA,NA,NA,V,FMT-UM-DSS,
sample1193,1193,V5,2,2,21,21,NA,1,1,18,OY,V5,NA,NA,NA,NA,NA,NA,NA,V,FMT-UM-DSS,
sample1194,1194,FMT-OY-D21-W1-1,2,2,21,21,NA,1,NA,18,OY,W1,NA,NA,NA,NA,NA,NA,191,W,FMT-UM,
sample1195,1195,FMT-OY-D21-W2-1,2,2,21,21,NA,1,NA,18,OY,W2,NA,NA,NA,NA,NA,NA,192,W,FMT-UM,
sample1196,1196,FMT-OY-D21-W3-1,2,2,21,21,NA,1,NA,18,OY,W3,NA,NA,NA,NA,NA,NA,193,W,FMT-UM,
sample1197,1197,FMT-OY-D21-W4-1,2,2,21,21,NA,1,NA,18,OY,W4,NA,NA,NA,NA,NA,NA,194,W,FMT-UM,
sample1198,1198,FMT-OY-D21-W5-1,2,2,21,21,NA,1,NA,18,OY,W5,NA,NA,NA,NA,NA,NA,195,W,FMT-UM,
sample1204,1204,FMT-OO-D21-J1-1,18,2,21,21,NA,1,NA,18,OO,J1,NA,NA,NA,NA,NA,NA,196,J,FMT-M,
sample1206,1206,FMT-OO-D21-J3-1,18,2,21,21,NA,1,NA,18,OO,J3,NA,NA,NA,NA,NA,NA,197,J,FMT-M,
sample1207,1207,FMT-OO-D21-J4-1,18,2,21,21,NA,1,NA,18,OO,J4,NA,NA,NA,NA,NA,NA,198,J,FMT-M,
sample1208,1208,FMT-OO-D21-J5-1,18,2,21,21,NA,1,NA,18,OO,J5,NA,NA,NA,NA,NA,NA,199,J,FMT-M,
sample1209,1209,K1,18,2,21,21,-4,1,1,18,OO,K1,NA,NA,NA,NA,NA,NA,NA,K,FMT-M-DSS,
sample1210,1210,K2,18,2,21,21,-4,1,1,18,OO,K2,NA,NA,NA,NA,NA,NA,NA,K,FMT-M-DSS,
sample1211,1211,K3,18,2,21,21,-4,1,1,18,OO,K3,NA,NA,NA,NA,NA,NA,NA,K,FMT-M-DSS,
sample1212,1212,K4,18,2,21,21,-4,1,1,18,OO,K4,NA,NA,NA,NA,NA,NA,NA,K,FMT-M-DSS,
sample1213,1213,K5,18,2,21,21,-4,1,1,18,OO,K5,NA,NA,NA,NA,NA,NA,NA,K,FMT-M-DSS,
